	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
36.tree	tree	bd		1.36418	1.29029	1.44037	0.495014	0.433262	0.560785	0			0.495014			0.523057	0.523057	0.523057
36.tree	tree	real	963	1.3132561596273447			0.13349036153580116			0.5874237150461394			36.379405683575634			0.5230566583731104		
36.tree	tree	bdct		1.3402	1.23885	1.44687	0.136197	0.100285	0.181967	0.555758	0.489545	0.6217	34.2505	28.6247	40.7703	0.523057	0.523057	0.523057
37.tree	tree	real	834	0.28454437767179297			0.26171771837593133			0.0296922104328804			6.547534607791053			0.5405113166629414		
37.tree	tree	bd		0.306035	0.284587	0.328916	0.259589	0.237871	0.282471	0			0.259589			0.540511	0.540511	0.540511
37.tree	tree	bdct		0.305729	0.278947	0.334331	0.258796	0.231606	0.287398	0.00362457	1e-06	0.0532487	51.6909	0.001	500000.0	0.540511	0.540511	0.540511
38.tree	tree	real	953	0.4879524293991611			0.0631003268599411			0.1309588717322675			30.48998723425699			0.495559317184135		
38.tree	tree	bd		0.474428	0.449462	0.499212	0.0885353	0.0741741	0.104746	0			0.0885353			0.495559	0.495559	0.495559
38.tree	tree	bdct		0.485194	0.452095	0.51951	0.0610878	0.0470047	0.0782529	0.12062	0.0857533	0.161841	33.5655	22.6039	49.2088	0.495559	0.495559	0.495559
39.tree	tree	bdct		0.256679	0.238702	0.275748	0.0612696	0.0480856	0.0765275	0.468591	0.405441	0.532422	22.2953	18.3233	26.8204	0.440414	0.440414	0.440414
39.tree	tree	real	977	0.250995575220832			0.06619264102071422			0.4935732408835539			20.710468334552193			0.4404144125639775		
39.tree	tree	bd		0.282657	0.267253	0.298864	0.135616	0.120892	0.151826	0			0.135616			0.440414	0.440414	0.440414
40.tree	tree	bdct		0.187313	0.176396	0.198755	0.0493497	0.0365068	0.0646077	0.306266	0.244654	0.372658	22.8764	17.3544	29.8554	0.0965813	0.0965813	0.0965813
