	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
80	real	891.0	0.20389610462984173			0.051673609226236095			21.755335382008997			3.9458460069461943			19.352238308375657			0.8557833126707893			0.5375048762451483			0.0459657358730939			
80	BDPN(psi)		0.1879914430642288	0.1774457830671983	0.1989268392330686	0.051673609226236	0.051673609226236	0.051673609226236	20.05635560573822	17.789662201018636	22.540143095513407	3.638055206114392	3.4339730807327533	3.849679598770277	19.352238308375657	19.352238308375657	19.352238308375657	0.999999	0.9413114671936036	0.999999	0.5621632733783549	0.5188361529667571	0.6051344555321395	0.0498595068644422	0.0443652906621985	0.0562124220628956	BDPN(psi)
81	BDPN(lambda)		0.5778107395762125	0.5778107395762125	0.5778107395762125	0.0945566420068816	0.0783395482996341	0.1130621342269649	12.503078773206216	11.14090998841497	13.9876466029036	6.110736668653701	6.110736668653701	6.110736668653701	10.5756716691274	8.844694174908858	12.76494467615753	0.999999	0.9024100168762208	0.999999	0.7776203150083253	0.7300769693080477	0.8213522561120346	0.0799803007034535	0.0714916546284788	0.0897592746947838	BDPN(lambda)
81	BDPN(psi)		0.492817424638083	0.4610882365373473	0.5258816998032432	0.1551558431337912	0.1551558431337912	0.1551558431337912	12.554352334038008	11.181089986308484	14.052947957782475	3.176273704452918	2.9717748763077507	3.389377345910035	6.445132711745168	6.445132711745168	6.445132711745168	0.942635171237289	0.7762225346212264	0.999970990317987	0.7942757059853868	0.7464874295078736	0.8377960268505387	0.0796536510520537	0.0711594466160534	0.0894367187120866	BDPN(psi)
81	BDPN(p)		0.5497050525584448	0.517319933794772	0.583273806826309	0.1471979314160742	0.1245329689040607	0.1723771869537019	12.499216772219992	11.13746877322651	13.9835517799174	3.734461804389298	3.5144511123087687	3.9625136115371697	6.793573730145493	5.801231692385058	8.030002085394688	0.5466600771798681	0.5466600771798681	0.5466600771798681	0.7672174704499519	0.7195627095619819	0.8113470743795448	0.0800050129718959	0.071512589629493	0.0897870081938107	BDPN(p)
81	real	718.0	0.5778107395762127			0.15515584313379127			12.927588490699344			3.724066898840316			6.445132711745168			0.5466600771798681			0.8373484338158725			0.0773539473908411			
82	BDPN(lambda)		0.2190936362771617	0.2190936362771617	0.2190936362771617	0.0589208224588652	0.0513696214840034	0.0672351804873526	8.636797818814461	6.8436469289458834	10.82096322257349	3.718441582008108	3.718441582008108	3.718441582008108	16.971928738743184	14.873165993628977	19.466758195043383	0.7230700212473616	0.6319739071166063	0.8258704392633252	0.2144905797686724	0.1789696251513994	0.2527016522127867	0.1157836528049311	0.0924132149265521	0.1461209221315028	BDPN(lambda)
82	BDPN(psi)		0.199797106643896	0.1886827176249867	0.2112687083123117	0.0615051563395311	0.0615051563395311	0.0615051563395311	8.70094555122718	6.893479293708661	10.899080531944168	3.2484610809042165	3.067754459209708	3.4349755514160587	16.258799416420175	16.258799416420175	16.258799416420175	0.8098050954289251	0.7099385971346919	0.9224076878568686	0.218361370809009	0.182090253390074	0.2574337107935929	0.1149300376737744	0.091750858897601	0.1450646266410999	BDPN(psi)
82	real	755.0	0.21909363627716175			0.06150515633953111			6.932525604844605			3.5621994856444914			16.258799416420175			0.6656157045694177			0.2459422055749499			0.1442475739723453			
82	BDPN(p)		0.210673441816953	0.1993860897855472	0.2223236949544298	0.064502149668107	0.056533374050576	0.073233666889741	8.633962374789547	6.839556041333383	10.820456071075736	3.266146057161878	3.091154183410625	3.446764117140074	15.503359270124424	13.654921875011087	17.688666505299643	0.6656157045694177	0.6656157045694177	0.6656157045694177	0.2148826030216706	0.1792964228558335	0.2531704448909141	0.1158216768374989	0.092417546305937	0.14620832024136	BDPN(p)
