	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
27	BDPN(p)	0.4474646854886153	0.0882976569387694	25.01116438753732	0.6989047280913356	0.8266247950345545	5.067684704237538	11.32532883283026	0.0399821449535666	0.07873905911630331	-0.11430647997255095	-0.012910936792080527	0.0	-0.018014465541993374	0.21795975100153364	0.12905872899353363	0.013079809384293472
27	BDPN(lambda)	0.4148034519628646	0.0782795365427399	24.992869392634315	0.9	0.8348021853588231	5.299002399386784	12.774730717190796	0.0400114122268294	0.0	-0.21479594509812244	-0.013632965926765661	0.20109527190866439	-0.009837075217724811	0.273554299366123	0.2735542993661228	0.013821392499774406
27	BDPN(psi)	0.4243617396622976	0.099693240316394	25.074037487464928	0.9	0.8387969678140876	4.256675159875544	10.03077035941779	0.0398818898033442	0.02304293190956549	0.0	-0.01042959092801336	0.20109527190866439	-0.005842292762460288	0.023042931909565672	0.0	0.010539513744951092
28	BDPN(lambda)	0.5745667364643262	0.1049430339186725	14.458731574153148	0.9	0.40567101159519	5.475034549788194	9.528979320103971	0.0691623601193087	0.0	-0.17097669754067016	0.058977341948172876	0.12897259865451294	-0.029209431543589404	0.20623871130456928	0.20623871130456925	-0.05569273261283824
28	BDPN(p)	0.6003956986691892	0.1140969950090781	14.463091382880442	0.7710274013454871	0.3994732525708354	5.262151721186158	8.76447271832562	0.0691415115570431	0.04495380704390402	-0.09866273090203292	0.059296660322246966	0.0	-0.035407190567944	0.15933717917784967	0.1094626110387864	-0.05597738815131346
28	BDPN(psi)	0.5686117877622763	0.1265863499944512	14.748098063012	0.9	0.4032309853814298	4.491888641920719	7.899745905019253	0.0678053533226758	-0.010364242000319254	0.0	0.08017094068462151	0.12897259865451294	-0.031649457757349564	-0.01036424200031929	0.0	-0.07422060496629287
29	BDPN(lambda)	0.4799935674602638	0.1118376181711608	24.94743551533246	0.9	0.7452534562002745	4.291879381101106	8.941535203920017	0.0400842803816612	0.0	-0.07680995676694358	-0.02630829081075648	0.009891092643908972	0.05648401696751448	0.0832005905284144	0.08320059052841451	0.027019117614405223
29	BDPN(psi)	0.4853118806035212	0.1211425740462928	24.987447663416305	0.9	0.7473070414204858	4.006121583796515	8.254736271476823	0.0400200938275133	0.011079967532476778	0.0	-0.024746627415248516	0.009891092643908972	0.058537602187725746	0.011079967532476653	0.0	0.025374562253150774
29	BDPN(p)	0.4896346856930787	0.1112722050685749	24.960165905084537	0.890108907356091	0.7433854093615822	4.400332368638925	8.986970280527098	0.0400638362662603	0.02008593215910769	-0.08147729281322764	-0.025811427117142547	0.0	0.05461597012882213	0.11057236166038815	0.08870471266058681	0.02649530885048262
30	BDPN(lambda)	0.2164202034928838	0.092428992965991	9.473699172877184	0.2102377071905294	0.1316978809484715	2.341475294148396	10.819116036111604	0.1055553888456749	0.0	-0.12381742901484852	0.3599680121527862	0.01629657984366048	-0.0412205744003058	0.14131464504667385	0.14131464504667365	-0.26468858747858953
